timestamp (seconds since 01/01/1970), system, entity , value (m)
1652101076.131477, lauv-thor, 62, 0.560514
1652101076.133184, lauv-thor, 62, 0.560514
1652101076.329971, lauv-thor, 62, 0.571407
1652101076.331687, lauv-thor, 62, 0.571407
1652101076.380918, lauv-thor, 73, 0.656598
1652101076.531698, lauv-thor, 62, 0.578340
1652101076.533213, lauv-thor, 62, 0.578340
1652101076.732131, lauv-thor, 62, 0.583291
1652101076.734284, lauv-thor, 62, 0.583291
1652101076.931991, lauv-thor, 62, 0.599136
1652101076.933570, lauv-thor, 62, 0.599136
1652101077.128929, lauv-thor, 62, 0.586262
1652101077.130523, lauv-thor, 62, 0.586262
1652101077.328257, lauv-thor, 62, 0.590223
1652101077.329998, lauv-thor, 62, 0.590223
1652101077.380985, lauv-thor, 73, 0.666546
1652101077.529765, lauv-thor, 62, 0.597155
1652101077.531745, lauv-thor, 62, 0.597155
1652101077.732609, lauv-thor, 62, 0.587252
1652101077.734126, lauv-thor, 62, 0.587252
1652101077.932445, lauv-thor, 62, 0.596165
1652101077.934245, lauv-thor, 62, 0.596165
1652101078.132287, lauv-thor, 62, 0.582301
1652101078.134155, lauv-thor, 62, 0.582301
1652101078.328497, lauv-thor, 62, 0.581311
1652101078.330081, lauv-thor, 62, 0.581311
1652101078.379562, lauv-thor, 73, 0.646649
1652101078.529752, lauv-thor, 62, 0.574378
1652101078.531735, lauv-thor, 62, 0.574378
1652101078.728516, lauv-thor, 62, 0.569427
1652101078.730164, lauv-thor, 62, 0.569427
1652101078.930725, lauv-thor, 62, 0.571407
1652101078.932498, lauv-thor, 62, 0.571407
1652101079.135736, lauv-thor, 62, 0.564475
1652101079.136262, lauv-thor, 62, 0.564475
